CaseID,Prefix length,Groud truth,Predicted,Levenshtein,Damerau
4029139,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4049993,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4053702,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4054927,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4059516,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4059770,2,b'\xc2\xbb',b'\xc2\xba',0.0,0.0,0.0
4060600,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4062624,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4064822,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4074896,2,b'\xc2\xbb',b'\xc2\xba',0.0,0.0,0.0
4082292,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4088369,2,b'\xc2\xbb',b'\xc2\xba',0.0,0.0,0.0
4089231,2,b'\xc2\xbb',b'\xc2\xba',0.0,0.0,0.0
4095381,2,b'\xc2\xbb',b'\xc2\xba',0.0,0.0,0.0
4106295,2,b'\xc2\xbb',b'\xc2\xba',0.0,0.0,0.0
4106740,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4108657,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4119215,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4121217,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4122485,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4123895,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4126409,2,b'\xc5\x92',b'\xc2\xba',0.0,0.0,0.0
4131861,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4136476,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4154353,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4155126,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4179549,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4181492,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4182708,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4184598,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4185583,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4187307,2,b'\xc2\xbb',b'\xc2\xba',0.0,0.0,0.0
4189633,2,b'\xc2\xbb',b'\xc2\xba',0.0,0.0,0.0
4190319,2,b'\xc2\xbb',b'\xc2\xba',0.0,0.0,0.0
4192414,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4195381,2,b'\xc2\xbb',b'\xc2\xba',0.0,0.0,0.0
4235729,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4239070,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4242727,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4257337,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4273727,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4290084,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4292909,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4295300,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4296905,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4300694,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4302151,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4305354,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4308848,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4312693,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4314099,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4315761,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4317392,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4317771,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4320126,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4320987,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4321601,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4322716,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4336128,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4336913,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4337049,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4340127,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4343199,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4372428,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4375473,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4376052,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4393000,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4397208,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4457188,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4472713,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4474902,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4478451,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4480821,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4482675,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4485682,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4493747,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4495310,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4499247,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4506906,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4517870,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4518489,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4533551,2,b'\xc2\xb9',b'\xc2\xba',0.0,0.0,0.0
4535320,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4544653,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4546478,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4557153,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4557918,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4560903,2,b'\xc2\xbd',b'\xc2\xba',0.0,0.0,0.0
4565008,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4566243,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4567702,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4567840,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4569458,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4571002,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4581387,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4583906,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4589612,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4598588,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4599434,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4599544,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4600203,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4601407,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4602366,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4603631,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4604206,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4606518,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4606722,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4607510,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4608716,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4611018,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4612442,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4613132,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4617358,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4619896,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4621666,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4639383,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4640117,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4641166,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4648847,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4651550,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4653530,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4660602,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4681467,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4691712,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4692256,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4693493,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4694875,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4695582,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4697157,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4722030,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4726584,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4733021,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4734496,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4735426,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4747525,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4762141,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4769679,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4770968,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4772933,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4774824,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4775758,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4782403,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4784091,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4785864,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4804777,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4809047,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4809925,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4811268,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4811353,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4812285,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4818343,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4819576,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4821209,2,b'\xc2\xb9',b'\xc2\xba',0.0,0.0,0.0
4824215,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4827106,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4828477,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4829983,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4833387,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4834967,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4863262,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4864598,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4867412,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4870609,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4873044,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4879346,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4884917,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4887587,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4902429,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4913143,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4919677,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4922974,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4927964,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4933123,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4934754,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4945924,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
4949276,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4958200,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4959649,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4960526,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4961278,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4963153,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4971943,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4972781,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4978339,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
5016502,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
5019310,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
5020239,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
5025543,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
5028023,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
5028918,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
5031265,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5038333,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
5042955,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
5044673,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
5051625,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
5061832,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
5063668,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
5067908,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
5069099,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
5073249,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
5084537,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
5086175,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
5088016,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
5096732,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
5097876,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
5100952,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5103134,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5105222,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
5106291,2,b'\xc2\xb9',b'\xc2\xba',0.0,0.0,0.0
5107387,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
5108257,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
5121833,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
5125719,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5129154,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5130775,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
5133110,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5133260,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
5136629,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
5138442,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
5141282,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
5143670,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5146211,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
5148204,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
5173437,2,b'\xc2\xb9',b'\xc2\xba',0.0,0.0,0.0
5177352,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
5186287,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
5202856,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5209025,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5211612,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5219461,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5220444,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5235306,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5243074,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5246759,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5248926,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5255269,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5257493,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5258482,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5259517,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5260926,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5262289,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5264858,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5266341,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5273430,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5275397,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5288872,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5290260,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5293935,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5295312,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5299703,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5300846,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5301739,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5303092,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5313975,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5314766,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5318961,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5320594,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5325670,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5327966,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5342369,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5343209,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5359608,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5367672,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5376987,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5377651,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5712830,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5733082,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5736255,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5736755,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5746246,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5768313,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5771438,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5772892,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5781959,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5790328,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5792647,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5802698,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5805078,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5805196,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5805909,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5808114,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5810626,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5817005,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5818846,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5829130,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5831246,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5838789,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5841335,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5843747,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5844473,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5846992,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5857296,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5874335,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5875084,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5878428,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5888724,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5902127,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5906692,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5910758,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5912784,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5913868,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5927193,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5951292,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5952610,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5954716,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5956048,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5959967,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5961714,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5962738,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5965990,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5968613,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5970052,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5978097,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5984121,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
5990611,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
6008161,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
6009005,2,b'\xc3\x85',b'\xc2\xba',0.0,0.0,0.0
6009653,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
6038724,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
6105087,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
6105253,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
6105523,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
6168136,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
6171838,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
6173903,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0
